id	Y	X1	X2	X3	X4	X3X4	year	X5	X5sq	X6	status	D7	elem	D8	D9	D10	D11	D12
40	355	2.129	5	2	3	6	2003	3.3	10.89	2	pen	0	parker	0	0	0	0	1
41	285	2.235	7	3.1	4	12.4	1975	.5	.25	2	act	1	crest	0	0	0	1	0
42	242	2.279	5	2.1	4	8.4	1949	-2.1	4.41	1	sld	0	parker	0	0	0	0	1
43	197	1.85	3	2	4	8	1964	-.6	.36	1	sld	0	edge	0	0	0	0	0
44	281.8	1.886	4	2	3	6	2005	3.5	12.25	2	sld	0	edison	1	0	0	0	0
45	259	2.08	2	2	4	8	1969	-.1	.01	2	pen	0	edge	0	0	0	0	0
46	189.5	1.906	3	2.1	3	6.3	1975	.5	.25	0	sld	0	edge	0	0	0	0	0
47	339.9	2.048	5	2	2	4	1993	2.3	5.29	3	pen	0	edge	0	0	0	0	0
48	297	2.106	4	2.1	3	6.3	1995	2.5	6.25	2	sld	0	edge	0	0	0	0	0
49	295	2.028	4	3	5	15	1992	2.2	4.84	2	sld	0	edge	0	0	0	0	0
50	222.5	1.794	4	2	3	6	1960	-1	1	0	sld	0	crest	0	0	0	1	0
51	199	2.016	3	2	5	10	1963	-.7	.49	1	pen	0	edge	0	0	0	0	0
52	385.5	1.904	4	1.1	3	3.3	1919	-5.1	26.01	1	sld	0	edison	1	0	0	0	0
53	230	2.234	3	3	4	12	1972	.2	.04	2	sld	0	edge	0	0	0	0	0
54	285	2.269	3	3.1	4	12.4	1905	-6.5	42.25	0	sld	0	edison	1	0	0	0	0
55	243	1.81	4	3	3	9	1961	-.9	.81	2	sld	0	edge	0	0	0	0	0
56	217	1.875	4	2	3	6	1961	-.9	.81	0	sld	0	edge	0	0	0	0	0
57	259.9	1.683	5	2.1	3	6.3	1979	.9	.81	1	act	1	harris	0	1	0	0	0
58	349.5	2.08	4	2.1	3	6.3	2005	3.5	12.25	2	act	1	harris	0	1	0	0	0
59	345	2.126	1	3.1	3	9.3	2005	3.5	12.25	2	act	1	harris	0	1	0	0	0
60	336	2.126	1	3.1	3	9.3	2005	3.5	12.25	2	pen	0	harris	0	1	0	0	0
61	333.75	2.126	1	3.1	3	9.3	2005	3.5	12.25	2	act	1	harris	0	1	0	0	0
62	340	2.126	1	3.1	3	9.3	2005	3.5	12.25	2	sld	0	harris	0	1	0	0	0
63	345	2.126	1	3.1	3	9.3	2005	3.5	12.25	2	sld	0	harris	0	1	0	0	0
64	374.5	1.712	5	1.1	3	3.3	1908	-6.2	38.44	2	pen	0	edison	1	0	0	0	0
65	236.5	1.95	4	3	4	12	1966	-.4	.16	2	pen	0	edge	0	0	0	0	0
66	350	2.02	7	2	3	6	1976	.6	.36	2	pen	0	harris	0	1	0	0	0
67	270	2.053	3	2.1	3	6.3	1977	.7	.49	2	act	1	edge	0	0	0	0	0
68	299	1.743	3	2	3	6	1988	1.8	3.24	2	act	1	harris	0	1	0	0	0
69	285	1.878	5	2.1	3	6.3	1975	.5	.25	2	act	1	crest	0	0	0	1	0
70	255	1.9	4	2	3	6	1980	1	1	2	sld	0	parker	0	0	0	0	1
71	259	2.208	4	3	3	9	1979	.9	.81	2	act	1	parker	0	0	0	0	1
72	249.9	2.081	5	2.1	4	8.4	1970	0	0	1	sld	0	harris	0	1	0	0	0
73	215	2.044	1	1.1	4	4.4	1936	-3.4	11.56	0	sld	0	parker	0	0	0	0	1
74	435	2.253	11	2	3	6	1979	.9	.81	2	sld	0	edge	0	0	0	0	0
75	274.9	1.861	4	2	4	8	1995	2.5	6.25	2	act	1	parker	0	0	0	0	1
76	349.5	2.896	4	3	5	15	1979	.9	.81	2	act	1	crest	0	0	0	1	0
